"Dataset","Data_source","x","y","type","AUPRC_label"
"KORA metabolomics","cGAN",0.505102040816326,0.158020750199521,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.506,0.15799098978545,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.507,0.157957984689336,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.50765306122449,0.157936507936508,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.508,0.157925123240218,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.509,0.157892404502349,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.51,0.157859827548088,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.510204081632653,0.15785319652723,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.511,0.157827391457819,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.512,0.157795095319861,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.512755102040816,0.157770800627943,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.513,0.157762938230384,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.514,0.157730919293323,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.515,0.157699037620297,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.51530612244898,0.157689305230289,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.516,0.157667292330525,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517,0.157635682550745,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.157608695652174,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.156756756756757,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.155913978494624,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.155080213903743,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.154255319148936,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.153439153439153,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.152631578947368,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.151832460732984,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.151041666666667,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.150259067357513,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.149484536082474,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.148717948717949,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.517857142857143,0.147959183673469,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.518,0.147987919353522,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.519,0.148188937836515,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.52,0.148389726865063,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.521,0.148590286831812,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.522,0.148790618128512,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.523,0.14899072114602,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.524,0.149190596274302,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.525,0.149390243902439,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.526,0.149589664418624,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.526785714285714,0.149746192893401,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.527,0.149788858210167,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.528,0.149987825663501,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.529,0.150186567164179,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.53,0.150385083096879,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.531,0.150583373845406,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.532,0.150781439792696,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.533,0.150979281320816,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.534,0.151176898810968,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.535,0.151374292643492,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.535714285714286,0.151515151515152,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.536,0.151571463197867,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.537,0.151768410852713,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.538,0.151965135985796,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.539,0.152161638974028,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.54,0.15235792019347,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.541,0.152553980019336,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.542,0.152749818825992,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.543,0.152945436986963,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.544,0.15314083487493,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.544642857142857,0.153266331658291,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.545,0.153336012861736,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.546,0.15353097131839,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.547,0.153725710615063,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.548,0.153920231121098,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.549,0.154114533205005,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.55,0.154308617234469,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.551,0.15450248357635,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.552,0.154696132596685,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.553,0.154889564660691,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.553571428571429,0.155,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.554,0.155082780132768,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.555,0.155275779376499,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.556,0.155468562754654,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.557,0.155661130629192,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.558,0.155853483361264,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.559,0.156045621311214,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.56,0.156237544838581,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
"KORA metabolomics","cGAN",0.561,0.156429254302103,"Precision-Recall Curve","cGAN (AUPRC=0.177)"
