"Data_source","x","y","dsid","type","AUPRC_label"
"cGAN",0.246,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.247,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.248,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.249,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.25,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.251,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.252,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.253,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.254,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.255,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.256,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.257,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.258,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.259,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.26,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.261,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.262,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.263,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.264,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.265,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.266,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.266666666666667,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.267,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.268,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.269,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.27,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.271,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.272,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.273,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.274,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.275,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.276,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.277,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.278,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.279,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.28,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.281,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.282,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.283,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
