"Response","Method","Predictor","Estimate","P","Bonferroni","Bonferroni_observedData","Sign_agreement"
"Arg","LEOPARD","age",0.00179005917091405,0.657375230604127,FALSE,"Non-significant in observed data","Matching sign"
"C0","LEOPARD","age",0.0191318550344746,6.03083737218619e-08,TRUE,"Significant in observed data","Matching sign"
"C10","LEOPARD","age",0.0183948737772394,4.11353481042308e-06,TRUE,"Significant in observed data","Matching sign"
"C12","LEOPARD","age",0.019344322532233,1.223160900486e-06,TRUE,"Significant in observed data","Matching sign"
"C14:1","LEOPARD","age",0.0200891990261091,4.67281791460027e-07,TRUE,"Significant in observed data","Matching sign"
"C14:1-OH","LEOPARD","age",0.0202351646874546,3.24738004878954e-07,TRUE,"Significant in observed data","Matching sign"
"C14:2","LEOPARD","age",0.0192798983539422,1.26659287620503e-06,TRUE,"Significant in observed data","Matching sign"
"C16","LEOPARD","age",0.017045954696209,1.32752427287307e-05,TRUE,"Significant in observed data","Matching sign"
"C16:2","LEOPARD","age",0.018500409426423,3.53032596946143e-06,TRUE,"Significant in observed data","Matching sign"
"C18","LEOPARD","age",0.0167996097366617,1.91438570670441e-05,TRUE,"Significant in observed data","Matching sign"
"C18:1","LEOPARD","age",0.0184806016792787,2.70067486390344e-06,TRUE,"Significant in observed data","Matching sign"
"C18:2","LEOPARD","age",0.0153097857486735,7.65734606990179e-05,TRUE,"Significant in observed data","Matching sign"
"C2","LEOPARD","age",0.0209325728400415,9.19402799086016e-08,TRUE,"Significant in observed data","Matching sign"
"C3","LEOPARD","age",0.0148435696628287,1.19469706783449e-05,TRUE,"Significant in observed data","Matching sign"
"C4","LEOPARD","age",0.0135709651753364,0.00011463295211709,TRUE,"Significant in observed data","Matching sign"
"C5","LEOPARD","age",0.0167993349294492,1.20668110317317e-06,TRUE,"Significant in observed data","Matching sign"
"Gly","LEOPARD","age",-0.0100197294838273,0.0106078153667961,FALSE,"Non-significant in observed data","Opposite sign"
"H1","LEOPARD","age",0.018681432257675,4.41639329555401e-08,TRUE,"Significant in observed data","Matching sign"
"Met","LEOPARD","age",0.00864842742005783,0.0266593020664243,FALSE,"Non-significant in observed data","Opposite sign"
"Orn","LEOPARD","age",0.0129027276358258,0.00053539234673033,TRUE,"Significant in observed data","Matching sign"
"Pro","LEOPARD","age",0.00620241454849475,0.091701963951781,FALSE,"Non-significant in observed data","Matching sign"
"Ser","LEOPARD","age",-0.00255453844812931,0.522144422587576,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C14:1","LEOPARD","age",0.0125873131776114,0.00081042429909298,TRUE,"Non-significant in observed data","Matching sign"
"SM (OH) C16:1","LEOPARD","age",0.0106359188446515,0.00434459841249497,FALSE,"Significant in observed data","Matching sign"
