"Response","Method","Predictor","Estimate","P","Bonferroni","Bonferroni_observedData"
"SM (OH) C16:1","PMM","age",0.0126239823769812,0.0309498743170318,FALSE,TRUE
"SM (OH) C16:1","GLMM","age",0.0114271185312253,0.00805435787013176,FALSE,TRUE
"SM (OH) C16:1","cGAN","age",0.00894547927206246,0.0190167484822921,FALSE,TRUE
"SM (OH) C16:1","LEOPARD","age",0.0106359188446515,0.00434459841249497,FALSE,TRUE
"SM (OH) C16:1","missForest","age",0.0124140891398157,0.0011714183579075,TRUE,TRUE
"C18:1","cGAN","age",0.00554287439046606,0.170552390721964,FALSE,TRUE
"C18:1","missForest","age",0.0013355740183802,0.736749951482547,FALSE,TRUE
"C18:1","GLMM","age",0.00424960730346176,0.461516111809216,FALSE,TRUE
"C18:1","PMM","age",0.00708820396540042,0.110656317917815,FALSE,TRUE
"C18:1","LEOPARD","age",0.0184806016792787,2.70067486390344e-06,TRUE,TRUE
"SM (OH) C14:1","PMM","age",0.00701838388980983,0.116113626002197,FALSE,FALSE
"SM (OH) C14:1","cGAN","age",0.0102331714630959,0.00838034803728472,FALSE,FALSE
"SM (OH) C14:1","missForest","age",0.0111555141895681,0.00383448813418501,FALSE,FALSE
"SM (OH) C14:1","LEOPARD","age",0.0125873131776114,0.000810424299092988,TRUE,FALSE
"SM (OH) C14:1","GLMM","age",0.00892792859967873,0.0285683185140475,FALSE,FALSE
"C2","GLMM","age",0.00388379417062018,0.453466627789334,FALSE,TRUE
"C2","LEOPARD","age",0.0209325728400415,9.19402799086016e-08,TRUE,TRUE
"C2","PMM","age",0.00638143261045319,0.13090285810795,FALSE,TRUE
"C2","missForest","age",0.00281790550623265,0.484486920795448,FALSE,TRUE
"C2","cGAN","age",0.00387614211739945,0.336266253674043,FALSE,TRUE
"C18","LEOPARD","age",0.0167996097366617,1.91438570670441e-05,TRUE,TRUE
"C18","missForest","age",-0.00635586446669923,0.107049082604601,FALSE,TRUE
"C18","PMM","age",0.00693421017849234,0.133869589316761,FALSE,TRUE
"C18","cGAN","age",0.00731086034822476,0.069220709655151,FALSE,TRUE
"C18","GLMM","age",0.00502814579937545,0.281989215332758,FALSE,TRUE
"Met","LEOPARD","age",0.00864842742005783,0.0266593020664243,FALSE,FALSE
"Met","GLMM","age",-0.00198662665106345,0.788946266905676,FALSE,FALSE
"Met","cGAN","age",0.000819006781087737,0.839500283291838,FALSE,FALSE
"Met","PMM","age",-0.00768805531415038,0.224548932787977,FALSE,FALSE
"Met","missForest","age",0.00239417427043479,0.554142097981369,FALSE,FALSE
"C16","cGAN","age",0.0104354305707421,0.00932426479210062,FALSE,TRUE
"C16","PMM","age",0.00469427026770033,0.265055573416236,FALSE,TRUE
"C16","LEOPARD","age",0.017045954696209,1.32752427287307e-05,TRUE,TRUE
"C16","missForest","age",0.00161645695651538,0.684815181781751,FALSE,TRUE
"C16","GLMM","age",0.00138027340074206,0.807639346916216,FALSE,TRUE
"SM C18:0","cGAN","age",0.00955490917686222,0.0129737115002882,FALSE,FALSE
"SM C18:0","LEOPARD","age",0.0167403725356549,1.0734346534798e-05,TRUE,FALSE
"SM C18:0","GLMM","age",0.00388117952271183,0.395523043925395,FALSE,FALSE
"SM C18:0","missForest","age",0.0133165667448511,0.000680488961420545,TRUE,FALSE
"SM C18:0","PMM","age",0.00680239090430004,0.310193890770094,FALSE,FALSE
"Thr","cGAN","age",-0.00305102766670056,0.450486841807618,FALSE,FALSE
"Thr","GLMM","age",-0.00631503210689705,0.197617510823611,FALSE,FALSE
"Thr","LEOPARD","age",-0.0148560597873227,0.000212456685836195,TRUE,FALSE
"Thr","PMM","age",-0.00807064102184244,0.353613968018618,FALSE,FALSE
"Thr","missForest","age",-0.00585347249997913,0.147329841215805,FALSE,FALSE
"Ser","missForest","age",-0.00659722820659306,0.102580462017411,FALSE,FALSE
"Ser","PMM","age",-0.00494118119127115,0.38760991676329,FALSE,FALSE
"Ser","GLMM","age",-0.00433315165706531,0.448417758874458,FALSE,FALSE
"Ser","cGAN","age",-0.00140814604626746,0.723680467709932,FALSE,FALSE
"Ser","LEOPARD","age",-0.00255453844812931,0.522144422587576,FALSE,FALSE
"SM C20:2","missForest","age",0.0068405934903722,0.0769494542459697,FALSE,FALSE
"SM C20:2","GLMM","age",0.00274393930160549,0.544121248256243,FALSE,FALSE
"SM C20:2","LEOPARD","age",-0.00305477094184074,0.407776291515564,FALSE,FALSE
"SM C20:2","PMM","age",0.00433960692990629,0.390029546791934,FALSE,FALSE
"SM C20:2","cGAN","age",0.0020295472883063,0.595129290121603,FALSE,FALSE
"Gly","LEOPARD","age",-0.0100197294838273,0.0106078153667961,FALSE,FALSE
"Gly","GLMM","age",-0.00216781835675911,0.739097706302017,FALSE,FALSE
"Gly","missForest","age",-0.00564518237559398,0.154143326998619,FALSE,FALSE
"Gly","PMM","age",-0.00368404142274181,0.397513328232603,FALSE,FALSE
"Gly","cGAN","age",-0.00135764160712669,0.735637834602008,FALSE,FALSE
"C18:2","cGAN","age",0.00403549583222702,0.317956508562417,FALSE,TRUE
"C18:2","PMM","age",0.00408316736681934,0.449362616397804,FALSE,TRUE
"C18:2","GLMM","age",0.00265592043309599,0.691926675993586,FALSE,TRUE
"C18:2","missForest","age",-0.00503862028572486,0.207217485358176,FALSE,TRUE
"C18:2","LEOPARD","age",0.0153097857486735,7.65734606990179e-05,TRUE,TRUE
"C5","cGAN","age",0.000299010624710914,0.938027850443562,FALSE,TRUE
"C5","GLMM","age",0.000592456501202051,0.915103790531446,FALSE,TRUE
"C5","LEOPARD","age",0.0167993349294492,1.20668110317317e-06,TRUE,TRUE
"C5","missForest","age",-0.00145416898827237,0.712390836147582,FALSE,TRUE
"C5","PMM","age",-0.00469960259431951,0.49365135734917,FALSE,TRUE
"SM C18:1","GLMM","age",0.00154311890553654,0.788261192692841,FALSE,FALSE
"SM C18:1","LEOPARD","age",0.0180569738713999,1.00733524085906e-06,TRUE,FALSE
"SM C18:1","missForest","age",0.0133877447114828,0.000586017958794057,TRUE,FALSE
"SM C18:1","PMM","age",0.00301714040316014,0.493681499825791,FALSE,FALSE
"SM C18:1","cGAN","age",0.00460249190951084,0.228650662694353,FALSE,FALSE
"SM (OH) C24:1","LEOPARD","age",0.0149746128485038,0.000106171866698862,TRUE,FALSE
"SM (OH) C24:1","missForest","age",0.0115066031411393,0.00307546275651424,FALSE,FALSE
