"method","obsNum","PB","dataset"
"cGAN","obsNum=0",0.15629508,"KORA metabolomics"
"cGAN","obsNum=0",0.5563298,"KORA metabolomics"
"cGAN","obsNum=0",0.23009868,"KORA metabolomics"
"cGAN","obsNum=0",0.30536148,"KORA metabolomics"
"cGAN","obsNum=0",0.24291709,"KORA metabolomics"
"cGAN","obsNum=0",0.6947099,"KORA metabolomics"
"cGAN","obsNum=0",0.36951083,"KORA metabolomics"
"cGAN","obsNum=0",1.0242642,"KORA metabolomics"
"cGAN","obsNum=0",0.2556601,"KORA metabolomics"
"cGAN","obsNum=0",0.39459813,"KORA metabolomics"
"cGAN","obsNum=0",0.18608978,"KORA metabolomics"
"cGAN","obsNum=0",0.24774781,"KORA metabolomics"
"cGAN","obsNum=0",0.19995405,"KORA metabolomics"
"cGAN","obsNum=0",0.18947941,"KORA metabolomics"
"cGAN","obsNum=0",0.20891029,"KORA metabolomics"
"cGAN","obsNum=0",0.15639319,"KORA metabolomics"
"cGAN","obsNum=0",0.19824441,"KORA metabolomics"
"cGAN","obsNum=0",0.33895823,"KORA metabolomics"
"cGAN","obsNum=0",0.33638632,"KORA metabolomics"
"cGAN","obsNum=0",0.2740461,"KORA metabolomics"
"cGAN","obsNum=0",0.15001708,"KORA metabolomics"
"cGAN","obsNum=0",0.22693093,"KORA metabolomics"
"cGAN","obsNum=0",0.22775477,"KORA metabolomics"
"cGAN","obsNum=0",0.28977987,"KORA metabolomics"
"cGAN","obsNum=0",0.33290976,"KORA metabolomics"
"cGAN","obsNum=0",0.28022707,"KORA metabolomics"
"cGAN","obsNum=0",0.1634415,"KORA metabolomics"
"cGAN","obsNum=0",0.24132012,"KORA metabolomics"
"cGAN","obsNum=0",0.19696161,"KORA metabolomics"
"cGAN","obsNum=0",0.12999819,"KORA metabolomics"
"cGAN","obsNum=0",0.19517365,"KORA metabolomics"
"cGAN","obsNum=0",0.13285224,"KORA metabolomics"
"cGAN","obsNum=0",0.18776058,"KORA metabolomics"
"cGAN","obsNum=0",0.49871042,"KORA metabolomics"
"cGAN","obsNum=0",0.14574927,"KORA metabolomics"
"cGAN","obsNum=0",0.123223566,"KORA metabolomics"
"cGAN","obsNum=100",0.16636832,"KORA metabolomics"
"cGAN","obsNum=100",0.2391743,"KORA metabolomics"
"cGAN","obsNum=100",0.2872783,"KORA metabolomics"
"cGAN","obsNum=100",0.3290156,"KORA metabolomics"
"cGAN","obsNum=100",0.22749488,"KORA metabolomics"
"cGAN","obsNum=100",0.36262962,"KORA metabolomics"
"cGAN","obsNum=100",0.28585684,"KORA metabolomics"
"cGAN","obsNum=100",0.305336,"KORA metabolomics"
"cGAN","obsNum=100",0.20505475,"KORA metabolomics"
"cGAN","obsNum=100",0.27100292,"KORA metabolomics"
"cGAN","obsNum=100",0.16121992,"KORA metabolomics"
"cGAN","obsNum=100",0.24124369,"KORA metabolomics"
"cGAN","obsNum=100",0.195429,"KORA metabolomics"
"cGAN","obsNum=100",0.17233554,"KORA metabolomics"
"cGAN","obsNum=100",0.18266954,"KORA metabolomics"
"cGAN","obsNum=100",0.14960021,"KORA metabolomics"
"cGAN","obsNum=100",0.1798896,"KORA metabolomics"
"cGAN","obsNum=100",0.20097943,"KORA metabolomics"
"cGAN","obsNum=100",0.1491882,"KORA metabolomics"
"cGAN","obsNum=100",0.17833549,"KORA metabolomics"
"cGAN","obsNum=100",0.14513974,"KORA metabolomics"
"cGAN","obsNum=100",0.18378118,"KORA metabolomics"
"cGAN","obsNum=100",0.14581466,"KORA metabolomics"
"cGAN","obsNum=100",0.1696854,"KORA metabolomics"
"cGAN","obsNum=100",0.10391356,"KORA metabolomics"
"cGAN","obsNum=100",0.1022128,"KORA metabolomics"
"cGAN","obsNum=100",0.12323452,"KORA metabolomics"
"cGAN","obsNum=100",0.103796944,"KORA metabolomics"
"cGAN","obsNum=100",0.140422,"KORA metabolomics"
"cGAN","obsNum=100",0.081870995,"KORA metabolomics"
"cGAN","obsNum=100",0.1237402,"KORA metabolomics"
"cGAN","obsNum=100",0.12946206,"KORA metabolomics"
"cGAN","obsNum=100",0.13405758,"KORA metabolomics"
"cGAN","obsNum=100",0.17205724,"KORA metabolomics"
"cGAN","obsNum=100",0.10778874,"KORA metabolomics"
"cGAN","obsNum=100",0.11784128,"KORA metabolomics"
"cGAN","obsNum=200",0.14766605,"KORA metabolomics"
"cGAN","obsNum=200",0.2528111,"KORA metabolomics"
"cGAN","obsNum=200",0.24279162,"KORA metabolomics"
