"completion_task","observed_timepoint","obsNum","PB"
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.18421426
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.32716155
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.3732331
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.23982994
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.22764017
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.35366935
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.20247185
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.21943145
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.29722756
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.24689078
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.24668872
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.22710086
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.25984567
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.32076442
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.22722435
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.23667444
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.4071185
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.25603658
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.37493786
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.15847223
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.1567163
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.2224348
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.21612611
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.21742281
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.27413654
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.089601584
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.15026775
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.29263556
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.14878552
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.24011639
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.19893476
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.18487592
"complete view 2 at timepoint 1","timepoint 3 observed","0",0.16427685
