"dataset","trainNum","obsNum","N","mean","median","percentile.75th","percentile.25th","sd","se"
"MGH COVID proteomics","20","0",295,0.204064477688525,0.161001645,0.272462929,0.09527482775,0.141382017268196,0.00823157929259339
"MGH COVID proteomics","20","10",295,0.191924351432881,0.143574555,0.2571560475,0.08937738995,0.141982699308161,0.00826655235307978
"MGH COVID proteomics","20","20",295,0.192734940358593,0.163470725,0.2556945375,0.09239497,0.130799382605972,0.00761543448132366
"MGH COVID proteomics","30","0",295,0.199791357944915,0.14718874,0.265862514,0.091720922,0.142503785077684,0.00829689113953189
"MGH COVID proteomics","30","10",295,0.199441577091525,0.150920905,0.2629455575,0.09033094975,0.14226636310255,0.00828306789770893
"MGH COVID proteomics","30","20",295,0.187738671973542,0.151768727,0.25167610975,0.08713234475,0.131268919006782,0.00764277194749308
"MGH COVID proteomics","30","30",295,0.188335858401017,0.16024722,0.242213905,0.09238991675,0.127352781744253,0.00741476562094563
"MGH COVID proteomics","50","0",295,0.185788807776441,0.147278475,0.2446734225,0.0880559805,0.12601201583435,0.00733670321164192
"MGH COVID proteomics","50","10",295,0.182592359606102,0.141464595,0.2419349725,0.08237278875,0.131559301444115,0.00765967866663787
"MGH COVID proteomics","50","20",295,0.181365106235373,0.138086995,0.242828909,0.0855246525,0.130398239855952,0.00759207904745564
"MGH COVID proteomics","50","30",295,0.192008143005254,0.146490595,0.258852105,0.09199810925,0.134552602906959,0.00783395541564832
"MGH COVID proteomics","50","40",295,0.168727112168814,0.139654269,0.209811085,0.08698889875,0.112302409327234,0.00653849906083042
"MGH COVID proteomics","50","50",295,0.171775901899441,0.139680415,0.22993662,0.084054366,0.113346619338937,0.00659929531820127
"MGH COVID proteomics","80","0",295,0.178464208665685,0.140904214,0.235000974166667,0.0843902449444444,0.125655422529799,0.0073159415467687
"MGH COVID proteomics","80","10",295,0.18295429915475,0.140900008888889,0.236239909833333,0.0868029831444444,0.127786651398924,0.00744002648886988
"MGH COVID proteomics","80","20",295,0.173520420062075,0.1418747957,0.224397132,0.085715667975,0.117403546898289,0.00683549877274506
"MGH COVID proteomics","80","30",295,0.162940416715663,0.1345754316,0.2156777451,0.0774391743,0.108504380754284,0.00631736928804983
"MGH COVID proteomics","80","40",295,0.166887608678508,0.1403436264,0.2193692251,0.08394134955,0.109556259229013,0.00637861202059963
"MGH COVID proteomics","80","50",295,0.164505752206245,0.1367950704,0.21409015875,0.083248163765,0.108031443746257,0.00628983383087362
"MGH COVID proteomics","120","0",295,0.158909241145763,0.1263721,0.204872675,0.0814157325,0.105146475026461,0.00612186445801762
"MGH COVID proteomics","120","10",295,0.144963617379661,0.1169032,0.17725669,0.0803151655,0.0954475854138202,0.00555717327282175
"MGH COVID proteomics","120","20",295,0.153344603247458,0.11892914,0.19053975,0.084859315,0.103489788854818,0.00602540845994718
"MGH COVID proteomics","120","30",295,0.148808332938983,0.11899614,0.186554615,0.0782950975,0.10041040632545,0.00584611987747746
"MGH COVID proteomics","120","40",295,0.151035371884746,0.121692866,0.180596345,0.080595235,0.10206716304433,0.00594257998296688
"MGH COVID proteomics","120","50",295,0.142302028491525,0.11502816,0.179260385,0.074921085,0.0905122120442464,0.00526982472584823
"KORA metabolomics","20","0",36,0.314825324263889,0.294582293,0.4013019475,0.219667033,0.128407740483545,0.0214012900805908
"KORA metabolomics","20","10",36,0.223221394375,0.21584155,0.24600192925,0.17939686225,0.0570126197252112,0.00950210328753521
"KORA metabolomics","20","20",36,0.224455877416667,0.22335553625,0.23789621125,0.18889268,0.0548574410368264,0.00914290683947106
"KORA metabolomics","30","0",36,0.275315457702778,0.251378795,0.29592342125,0.22529013625,0.0985722180139078,0.016428703002318
"KORA metabolomics","30","10",36,0.227896900430556,0.21879040925,0.27077646725,0.176091609375,0.0629825765692719,0.0104970960948786
"KORA metabolomics","30","20",36,0.220608205916667,0.22163123375,0.241532438125,0.17883732125,0.0556442360383868,0.00927403933973113
"KORA metabolomics","30","30",36,0.222007220611111,0.21272536175,0.24304228125,0.18903358675,0.0539736492654254,0.00899560821090423
"KORA metabolomics","50","0",36,0.258397886944444,0.217911645,0.322578635,0.1910313875,0.100126081345604,0.0166876802242673
"KORA metabolomics","50","10",36,0.209082648888889,0.201234565,0.234437315,0.1689527775,0.0536428619923717,0.00894047699872862
"KORA metabolomics","50","20",36,0.207595968055556,0.1968197,0.2473229375,0.16979585,0.0521727411756613,0.00869545686261022
"KORA metabolomics","50","30",36,0.199210825833333,0.185171685,0.229580715,0.1615407425,0.0537614340233359,0.00896023900388931
"KORA metabolomics","50","40",36,0.198702245555556,0.18412687,0.211040405,0.16260145,0.0532133024547494,0.00886888374245823
"KORA metabolomics","50","50",36,0.197444283472222,0.188535295,0.2306064075,0.16396684,0.045246338373763,0.00754105639562717
"KORA metabolomics","80","0",36,0.299519011944444,0.22454954,0.34875327,0.171929555,0.193701447554086,0.0322835745923477
"KORA metabolomics","80","10",36,0.2424868025,0.20409696,0.2377958925,0.1679058675,0.179653936983794,0.0299423228306323
"KORA metabolomics","80","20",36,0.2132129725,0.19493132,0.2447256575,0.1733700175,0.0634305729198829,0.0105717621533138
"KORA metabolomics","80","30",36,0.236302343333333,0.194072105,0.239716195,0.1718032275,0.131696985690982,0.0219494976151637
"KORA metabolomics","80","40",36,0.207027856944444,0.1931845,0.2348465025,0.1741807425,0.0532638602649597,0.00887731004415994
"KORA metabolomics","80","50",36,0.200739643611111,0.18839805,0.22138168,0.1550739425,0.065026124040418,0.0108376873400697
"KORA metabolomics","120","0",36,0.233058083611111,0.21271248,0.2632499925,0.1767083975,0.089091301189548,0.014848550198258
"KORA metabolomics","120","10",36,0.216305446944444,0.206381605,0.2550975,0.1617589625,0.0656672655879681,0.0109445442646614
"KORA metabolomics","120","20",36,0.213838288722222,0.1821221,0.27267649,0.15674696,0.0762661550211597,0.01271102583686
"KORA metabolomics","120","30",36,0.221715853888889,0.19618082,0.25686764,0.1588157975,0.0864355172258118,0.0144059195376353
"KORA metabolomics","120","40",36,0.213422078333333,0.18373394,0.230139695,0.16388958,0.0747133946560751,0.0124522324426792
"KORA metabolomics","120","50",36,0.207847566944444,0.18629755,0.2437095225,0.170678065,0.0542393015932936,0.00903988359888227
"KORA metabolomics","160","0",36,0.221238134722222,0.204544,0.2516238675,0.1714435625,0.0715183993347823,0.0119197332224637
"KORA metabolomics","160","10",36,0.2116636075,0.20539522,0.2368283925,0.17097534,0.0621529284579435,0.0103588214096573
"KORA metabolomics","160","20",36,0.232131594305556,0.193765325,0.255942995,0.1534263825,0.111810379659748,0.0186350632766247
"KORA metabolomics","160","30",36,0.193270116944444,0.18399976,0.2179849875,0.15218447,0.0531856899857152,0.00886428166428587
"KORA metabolomics","160","40",36,0.190561222222222,0.18463587,0.2078208675,0.157045805,0.0478114331123494,0.00796857218539157
"KORA metabolomics","160","50",36,0.197654899305556,0.18580872,0.21894729,0.1624668175,0.0507081367526738,0.00845135612544563
"KORA multi-omics","20","0",66,0.364234970943182,0.1746920175,0.30555585625,0.0735292126875,0.571080497838799,0.0702951499481974
"KORA multi-omics","20","10",66,0.246359463951894,0.12234405625,0.221172323125,0.0711672295,0.3661133517586,0.0450654383354069
"KORA multi-omics","20","20",66,0.180766050179167,0.1073305385,0.1934561075,0.0691809766875,0.204031723118189,0.0251145690057002
"KORA multi-omics","30","0",66,0.331090978701894,0.20078471125,0.34531290188125,0.11654800269375,0.421374999987351,0.0518676770098593
"KORA multi-omics","30","10",66,0.254837493901515,0.12640209575,0.217727229375,0.067292724875,0.382511441161334,0.0470839036092018
"KORA multi-omics","30","20",66,0.159303549840152,0.086487515625,0.1659711278125,0.055488687625,0.204196424833838,0.0251348423854464
"KORA multi-omics","30","30",66,0.1169592036375,0.079511552,0.1319173435,0.053353779875,0.112163338837913,0.0138063526107789
"KORA multi-omics","50","0",66,0.324740912981061,0.18660407375,0.291767696875,0.107338985125,0.439432903071555,0.0540904512244543
"KORA multi-omics","50","10",66,0.258788905858712,0.132436338,0.23724329375,0.071033177875,0.382614992655377,0.0470966499169968
"KORA multi-omics","50","20",66,0.226854475494621,0.1102699285,0.205024000625,0.0666372340625,0.337308942259683,0.041519860623406
"KORA multi-omics","50","30",66,0.171646399559848,0.08882445425,0.1465196228125,0.0568287125625,0.23136321014921,0.0284788424950309
"KORA multi-omics","50","40",66,0.119739576961818,0.078051179875,0.128288210375,0.0524343561875,0.118035915664963,0.0145292168483111
"KORA multi-omics","50","50",66,0.106402393113258,0.07440818675,0.1245906086875,0.0490574221,0.094866894823655,0.0116773075284232
"KORA multi-omics","80","0",66,0.370732810494326,0.16462051153375,0.337455970125,0.0935861388125,0.579902859498125,0.0713811075988028
"KORA multi-omics","80","10",66,0.262044914852599,0.12564590665,0.227816078925,0.0728796100525,0.386261079180856,0.0475454521436576
"KORA multi-omics","80","20",66,0.212731368496159,0.1068282755965,0.18047521204375,0.06524816852375,0.301310802501144,0.037088795928045
"KORA multi-omics","80","30",66,0.177915168440394,0.0945123332175,0.15908982585625,0.060047093735,0.239324551535626,0.0294588158764804
"KORA multi-omics","80","40",66,0.157727102691061,0.084331265311,0.14210714298375,0.05623316171125,0.203272577931539,0.0250211246928057
"KORA multi-omics","80","50",66,0.124160065227445,0.073891572975,0.12558435488125,0.05132537397125,0.142212453745067,0.0175051429673097
"KORA multi-omics","120","0",66,0.385586457425462,0.164970505475,0.3478651816125,0.0848193478325,0.615968797497312,0.0758205176806908
"KORA multi-omics","120","10",66,0.238036797588985,0.126893875775,0.2282987096875,0.07602951941,0.330054530097997,0.0406269042142455
"KORA multi-omics","120","20",66,0.178504819864023,0.09998940528375,0.17704751024625,0.06304364637625,0.226129492359082,0.0278346163688791
"KORA multi-omics","120","30",66,0.190180459149436,0.1085554947,0.1832012237875,0.0694063929,0.246201477385815,0.0303053069327344
"KORA multi-omics","120","40",66,0.157799182503477,0.09164074195,0.1609054446375,0.057933771025,0.191965015284672,0.0236292599472607
"KORA multi-omics","120","50",66,0.139226836326081,0.089166558575,0.15340923843125,0.05590446232625,0.157511869272881,0.0193883708357407
"KORA multi-omics","160","0",66,0.369714006787879,0.14692518,0.34628674625,0.069021665375,0.600110671946481,0.0738685173625016
"KORA multi-omics","160","10",66,0.158152092295455,0.09495523875,0.15705905125,0.057557644125,0.185550320758952,0.0228396656339129
"KORA multi-omics","160","20",66,0.110842268098485,0.07979250875,0.13780881,0.054493419,0.080131410606395,0.00986349480581828
"KORA multi-omics","160","30",66,0.128017193598485,0.0847095715,0.13985402125,0.0532083705,0.134065678947821,0.0165023443108438
"KORA multi-omics","160","40",66,0.130402920568182,0.08167879375,0.157275035,0.05845928275,0.128673176227999,0.0158385731109508
"KORA multi-omics","160","50",66,0.122217527454545,0.0794753615,0.15023082,0.0528772225,0.114505327742346,0.0140946315168825
